Wall time,Step,Value
1655767661.4042823,364239,-20.0
1655769555.992841,372331,-20.0
1655770489.5937436,376324,-21.0
1655771075.969304,378829,-21.0
1655771553.1305845,380854,-20.0
1655772251.4191728,383834,-20.0
1655773451.7789776,388992,-20.0
1655773880.8074365,390847,-21.0
1655775093.4281516,396029,-19.0
1655776426.1141093,401721,-19.0
1655776640.4452438,402617,-20.0
1655777954.3584023,408221,-21.0
1655778231.9335291,409416,-21.0
1655778850.1855376,412041,-20.0
1655779097.8536422,413079,-20.0
1655779940.1723764,416659,-19.0
1655781159.8340962,421807,-21.0
1655781348.7500265,422597,-21.0
1655781582.084806,423575,-21.0
1655782129.6382039,425888,-19.0
1655783071.8947253,429826,-20.0
1655783271.7827618,430668,-21.0
1655783806.905369,432903,-19.0
1655784600.1109443,436244,-21.0
1655785082.7178435,438265,-20.0
1655785943.9572496,441880,-21.0
1655786894.2541575,445866,-20.0
1655787097.4305804,446717,-21.0
1655787997.5210044,450562,-17.0
1655788227.0803597,451542,-20.0
1655788662.7593346,453427,-20.0
1655789109.3932934,455353,-20.0
1655790038.1623075,459229,-21.0
1655790290.6080258,460328,-18.0
1655791431.7603323,465214,-20.0
1655791631.9481275,466064,-21.0
1655792917.748485,471562,-21.0
1655793125.2325506,472480,-20.0
1655793335.2684498,473370,-21.0
1655794557.6126986,478586,-21.0
1655795477.0232744,482495,-20.0
1655796665.9637265,487609,-20.0
1655798112.8114913,493849,-19.0
1655798364.8680487,494890,-19.0
1655798630.503728,496024,-19.0
1655798860.4955232,497035,-19.0
1655799080.5243714,497965,-21.0
1655799327.9047432,498978,-20.0
1655800006.2045965,501867,-20.0
1655800251.3688157,502883,-20.0
1655800462.327131,503798,-20.0
1655803491.5951557,516706,-21.0
1655803754.8589034,517847,-20.0
1655804304.552018,520203,-19.0
1655804553.516547,521290,-21.0
1655804791.4533193,522290,-21.0
1655805269.1311724,524240,-21.0
1655805700.5406287,526044,-20.0
1655806115.5500987,527878,-21.0
1655806573.4378583,529839,-21.0
1655806783.0051763,530715,-20.0
1655807549.7905755,533974,-18.0
1655808018.1138668,536044,-20.0
1655808801.705743,539377,-20.0
1655809057.453675,540414,-19.0
1655810368.8284523,547253,-18.0
1655810511.995805,548105,-21.0
1655810696.9965532,549205,-20.0
1655811398.1188176,553381,-20.0
1655811894.8453763,556310,-20.0
1655812255.7866392,558450,-19.0
1655812750.842449,561396,-21.0
1655813550.6109493,566140,-18.0
1655814293.55653,570565,-20.0
1655814483.9419663,571706,-20.0
1655814972.6844573,574612,-19.0
1655815271.6218622,576401,-21.0
1655815425.5489461,577326,-21.0
1655815871.8953626,580014,-21.0
1655816163.9342108,581765,-21.0
1655816457.2054915,583532,-20.0
1655816640.1682606,584637,-19.0
1655817137.97103,587619,-20.0
1655817327.920963,588748,-20.0
1655818206.8763392,593978,-20.0
1655819063.6543992,599080,-20.0
1655819237.7014403,600116,-20.0
1655819558.8061469,602029,-20.0
1655820298.2931845,606451,-20.0
1655820636.717827,608483,-19.0
1655820841.5331929,609712,-20.0
1655821362.1334863,612837,-19.0
1655821713.290955,614949,-19.0
1655821922.974425,616212,-17.0
1655822669.8111405,620726,-20.0
1655823396.1528783,625128,-19.0
1655823907.8239753,628244,-21.0
1655824050.4663687,629114,-21.0
1655824205.2719588,630052,-21.0
1655824401.5564485,631250,-20.0
1655824594.37292,632421,-19.0
1655825427.4653957,637492,-21.0
1655825785.13937,639678,-21.0
1655825982.3498921,640876,-18.0
1655826311.4050276,642887,-20.0
1655826464.7574513,643822,-19.0
1655826959.6642647,646842,-20.0
1655827345.1931424,649184,-18.0
1655828539.0044494,656465,-20.0
1655829032.900624,659479,-20.0
1655829875.4941604,664581,-18.0
1655830045.279033,665605,-20.0
1655830719.336716,669649,-20.0
1655831462.743153,674107,-18.0
1655832005.9308615,677348,-20.0
1655832804.799889,682137,-20.0
1655833157.1447263,684253,-20.0
1655833548.0634,686595,-19.0
1655833698.967556,687492,-21.0
1655834103.412711,689910,-18.0
1655834664.6438305,693257,-17.0
1655835236.5171707,696660,-20.0
1655836097.781766,701803,-20.0
1655836980.415256,707054,-20.0
1655837280.786519,708843,-21.0
1655837788.8289301,711863,-21.0
