Wall time,Step,Value
1654642937.8185723,649487,-18.0
1654643108.9568036,650488,-19.0
1654643688.5501935,653875,-19.0
1654644038.9730694,655936,-21.0
1654644232.8000574,657067,-19.0
1654644968.7741961,661336,-19.0
1654645424.851544,664026,-18.0
1654645824.3893626,666351,-20.0
1654646314.7633796,669223,-21.0
1654646535.211643,670523,-17.0
1654646727.86625,671655,-19.0
1654646940.0586178,672907,-18.0
1654647097.0831456,673824,-20.0
1654647262.3170886,674792,-21.0
1654648030.2870796,679303,-19.0
1654648441.7241886,681723,-21.0
1654648630.4710042,682841,-19.0
1654648793.966924,683799,-21.0
1654648977.3823195,684888,-19.0
1654649215.9794374,686037,-18.0
1654649972.368472,689497,-19.0
1654650328.5690196,691143,-18.0
1654650582.1226082,692317,-20.0
1654652214.0129397,699820,-18.0
1654653046.10009,703546,-18.0
1654654238.0859187,709037,-20.0
1654654433.4498749,709942,-21.0
1654654691.07095,711140,-19.0
1654655470.3760903,714724,-21.0
1654655978.1196434,717090,-18.0
1654656172.010803,718008,-20.0
1654656372.9272325,718936,-20.0
1654657045.0991478,722083,-17.0
1654658295.311222,727956,-19.0
1654658794.3881922,730341,-19.0
1654658993.2875535,731255,-21.0
1654659246.3468122,732468,-18.0
1654659501.4989126,733662,-17.0
1654659991.6615832,735920,-20.0
1654660653.9113226,739678,-17.0
1654660824.0415254,740707,-21.0
1654661278.9527214,743435,-17.0
1654661972.8756104,747601,-20.0
1654662115.682385,748457,-21.0
1654662513.1579773,750833,-20.0
1654663036.4828866,753936,-19.0
1654663506.8200638,756727,-18.0
1654663925.4184566,759210,-18.0
1654664119.8411083,760366,-18.0
1654664335.5972939,761656,-17.0
1654664756.7317379,764132,-15.0
1654665237.2157705,766995,-15.0
1654665454.0346544,768277,-19.0
1654665603.0411463,769175,-21.0
1654665864.4356465,770736,-17.0
1654666061.0519958,771911,-19.0
1654666466.0195773,774336,-19.0
1654666686.9163764,775647,-17.0
1654666833.1964517,776511,-20.0
1654667869.0414581,782665,-20.0
1654668062.5559988,783823,-21.0
1654668220.1443992,784765,-21.0
1654668635.79306,787245,-20.0
1654668842.893931,788478,-18.0
1654669066.3678005,789813,-19.0
1654669238.6729326,790834,-19.0
1654670588.2430005,798890,-17.0
1654671353.6906095,803485,-17.0
1654671571.7268848,804789,-19.0
1654672037.2355394,807577,-18.0
1654673144.085542,814183,-19.0
1654673355.6964974,815463,-18.0
1654673531.2486007,816518,-19.0
1654674132.396928,820115,-19.0
1654674321.9124014,821252,-19.0
1654674904.2456925,824730,-20.0
1654675076.6380746,825762,-21.0
1654675491.1894188,828238,-15.0
1654675711.4117177,829561,-18.0
1654676040.9216385,831552,-21.0
1654676303.145076,833129,-15.0
1654676478.247355,834180,-19.0
1654676689.842849,835450,-21.0
1654676906.947035,836756,-16.0
1654678230.2403252,844723,-18.0
1654678419.7956421,845870,-20.0
1654678868.7039068,848567,-21.0
1654679261.3052452,850920,-17.0
1654679661.8984046,853314,-19.0
1654679868.7485065,854544,-20.0
1654680469.1501038,858094,-18.0
1654680642.4125981,859126,-19.0
1654681409.1568048,863708,-19.0
1654681602.9901848,864875,-20.0
1654681782.3428793,865949,-19.0
