Wall time,Step,Value
1654593085.8220932,346579,-16.0
1654594589.1300883,355331,-16.0
1654597638.1564674,373050,-15.0
1654598412.8108692,377595,-10.0
1654599407.126439,383404,-12.0
1654599655.4442813,384840,-16.0
1654599983.4684803,386755,-15.0
1654602239.1160262,399979,-17.0
1654603416.798594,406860,-15.0
1654603794.4096496,409067,-9.0
1654604087.0382583,410776,-15.0
1654604628.658384,413959,-13.0
1654606939.7335002,427471,-15.0
1654607189.9936194,428929,-17.0
1654607939.3613806,433323,-19.0
1654608348.7541304,435710,-19.0
1654608734.894922,437974,-17.0
1654609364.1358464,441650,-13.0
1654609852.615757,444492,-20.0
1654610080.8035786,445822,-18.0
1654610631.2971687,449021,-18.0
1654611180.26831,452233,-15.0
1654611442.165173,453764,-16.0
1654612060.3449352,457392,-13.0
1654613646.6676028,466755,-14.0
1654613887.2112176,468169,-17.0
1654614192.9481533,469964,-13.0
1654614468.6000376,471599,-15.0
1654616915.4241464,486128,-12.0
1654617444.4742875,489265,-12.0
1654618700.2168007,496696,-13.0
1654619801.972084,503239,-15.0
1654620469.2471344,507186,-12.0
1654620710.001016,508616,-17.0
1654621698.5329812,514471,-12.0
1654623733.8541293,526531,-18.0
1654624290.9972446,529834,-16.0
1654624627.6564996,531819,-11.0
1654626161.5290508,540844,-13.0
1654626477.3543522,542692,-15.0
1654627100.0733905,546317,-14.0
1654628044.2370915,551857,-16.0
1654628771.965773,556131,-13.0
1654629009.076224,557514,-20.0
1654630487.8193717,566188,-2.0
1654631106.1903157,569811,-14.0
1654631909.4922109,574480,-4.0
1654633290.8652377,582502,-13.0
1654634516.8073285,589639,-18.0
1654634823.8720455,591427,-11.0
1654635144.3629448,593289,-14.0
1654635450.003677,595071,-15.0
1654635818.8861299,597221,-13.0
1654636129.1630409,599020,-12.0
1654638304.1501317,611583,-10.0
1654639147.3648486,616415,-17.0
1654639438.2207897,618116,-15.0
1654642136.7494037,633847,-6.0
1654643299.9911637,640651,-10.0
1654643605.7300184,642426,-14.0
1654643913.1869915,644222,-15.0
1654644642.2087934,648434,-9.0
